id,source_type,criterion,band,text
descriptor_TR_2,descriptor,TR,2.0,"Task response band 2.0:
• barely responds to the task • does not express a position • may attempt to present one or two ideas but there is no development"
descriptor_CC_2,descriptor,CC,2.0,"Coherence and cohesion band 2.0:
• has very little control of organisational features"
descriptor_LR_2,descriptor,LR,2.0,"Lexical resource band 2.0:
• uses an extremely limited range of vocabulary; essentially no control of word formation and/or spelling"
descriptor_GRA_2,descriptor,GRA,2.0,"Grammatical range and accuracy band 2.0:
• cannot use sentence forms except in memorised phrases"
descriptor_TR_1,descriptor,TR,1.0,"Task response band 1.0:
• answer is completely unrelated to the task"
descriptor_CC_1,descriptor,CC,1.0,"Coherence and cohesion band 1.0:
• fails to communicate any message"
descriptor_LR_1,descriptor,LR,1.0,"Lexical resource band 1.0:
• can only use a few isolated words"
descriptor_GRA_1,descriptor,GRA,1.0,"Grammatical range and accuracy band 1.0:
• cannot use sentence forms at all"
descriptor_TR_0,descriptor,TR,0.0,"Task response band 0.0:
• does not attend • does not attempt the task in any way • writes a totally memorised response"
descriptor_CC_0,descriptor,CC,0.0,"Coherence and cohesion band 0.0:
"
descriptor_LR_0,descriptor,LR,0.0,"Lexical resource band 0.0:
"
descriptor_GRA_0,descriptor,GRA,0.0,"Grammatical range and accuracy band 0.0:
"
